Career Pathway,Code,Occupation
Therapeutic Services,29-1022.00,Oral and Maxillofacial Surgeons
Therapeutic Services,29-1023.00,Orthodontists
Therapeutic Services,29-1242.00,"Orthopedic Surgeons, Except Pediatric"
Therapeutic Services,29-1299.02,Orthoptists
Therapeutic Services,29-2091.00,Orthotists and Prosthetists
Therapeutic Services,29-1243.00,Pediatric Surgeons
Therapeutic Services,29-1221.00,"Pediatricians, General"
Therapeutic Services,29-1051.00,Pharmacists
Therapeutic Services,29-2052.00,Pharmacy Technicians
Therapeutic Services,29-1229.04,Physical Medicine and Rehabilitation Physicians
Therapeutic Services,31-2022.00,Physical Therapist Aides
Therapeutic Services,31-2021.00,Physical Therapist Assistants
Therapeutic Services,29-1123.00,Physical Therapists
Therapeutic Services,29-1071.00,Physician Assistants
Therapeutic Services,29-1229.00,"Physicians, All Other"
Therapeutic Services,29-1222.00,"Physicians, Pathologists"
Therapeutic Services,29-1081.00,Podiatrists
Therapeutic Services,29-1229.05,Preventive Medicine Physicians
Therapeutic Services,29-1024.00,Prosthodontists
Therapeutic Services,31-1133.00,Psychiatric Aides
Therapeutic Services,29-2053.00,Psychiatric Technicians
Therapeutic Services,29-1223.00,Psychiatrists
Therapeutic Services,29-1124.00,Radiation Therapists
Therapeutic Services,29-1224.00,Radiologists
Therapeutic Services,29-1125.00,Recreational Therapists
Therapeutic Services,29-1141.00,Registered Nurses
Therapeutic Services,29-1126.00,Respiratory Therapists
Therapeutic Services,29-1127.00,Speech-Language Pathologists
Therapeutic Services,29-1229.06,Sports Medicine Physicians
Therapeutic Services,29-1249.00,"Surgeons, All Other"
Therapeutic Services; Diagnostic Services,29-9093.00,Surgical Assistants
Therapeutic Services,29-2055.00,Surgical Technologists
Therapeutic Services,29-1129.00,"Therapists, All Other"
Therapeutic Services,29-1229.03,Urologists
Therapeutic Services,29-1131.00,Veterinarians
